Identifiant;Nom;Catégorie;Année;Adresse;Lieu;Lien;Géolocalisation
392;Coudray 69;Composteur en résidence - copropriété;2022;69 rue du Coudray;Nantes;https://pom-e.compostri.fr/composteur/coudray-69;47.22910899875744, -1.5439869996240823
393;Les Préludes;Composteur en résidence - copropriété;2022;1 avenue des Mélodies;Nantes;https://pom-e.compostri.fr/composteur/les-preludes;47.244063999257214, -1.510307000362975
396;Square Jean Baptiste Terrien 2;Composteur ouvert au quartier;2022;7 rue Célestin Freinet;Rezé;https://pom-e.compostri.fr/composteur/square-jean-baptiste-terrien-2;47.18435199948977, -1.550643999446639
403;Néopolis 2;Composteur ouvert au quartier;2022;1 Rue Georges Boutin;Rezé;https://pom-e.compostri.fr/composteur/neopolis-2;47.19005499874069, -1.5653929998356049
409;Le Potager de la Gare;Jardin;2023;121 Impasse de la Gare;Saint-Herblain;https://pom-e.compostri.fr/composteur/le-potager-de-la-gare;47.20400899937323, -1.6620310004790486
416;Résidence Le Muguet;Composteur ouvert au quartier;2023;34 Rue du Lieutenant Auge, 44230 Saint-Sébastien-sur-Loire;Saint-Sébastien-sur-Loire;https://pom-e.compostri.fr/composteur/residence-le-muguet;47.19726399927602, -1.5206079999899635
418;Debussy;Composteur ouvert au quartier;2023;Allée Debussy;Saint-Sébastien-sur-Loire;https://pom-e.compostri.fr/composteur/debussy;47.207415999293474, -1.4892719998169626
419;FJT Bréa;Composteur en résidence - copropriété;2023;Édit de Nantes Habitat Jeunes 9 rue de Bréa, 44000 NANTES;Nantes;https://pom-e.compostri.fr/composteur/fjt-brea;47.210871999497165, -1.5654759994975898
420;Lucie Aubrac;Composteur ouvert au quartier;2023;9 rue Lucie Aubrac;Saint-Herblain;https://pom-e.compostri.fr/composteur/lucie-aubrac;47.21749799950646, -1.6197529995505442
421;Hippodrome;Composteur en résidence - copropriété;2023;25 Bd des Tribunes;Nantes;https://pom-e.compostri.fr/composteur/hippodrome;47.247789998737275, -1.5685650006157317
423;Les Marsauderies;Composteur en résidence - copropriété;2023;Allée Anne-Marie Imbrecq;Nantes;https://pom-e.compostri.fr/composteur/les-marsauderies;47.242729999126574, -1.5320400004722183
430;Le Clos de la Rivaudière 2;Composteur en résidence - copropriété;;15 rue de la Johardiere;Saint-Herblain;https://pom-e.compostri.fr/composteur/le-clos-de-la-rivaudiere-2;47.22568899903737, -1.6504671005159606
439;Square Washington 2;Composteur ouvert au quartier;2023;Square Washington;Nantes;https://pom-e.compostri.fr/composteur/square-washington-2;47.233324998832565, -1.5739909995681751
442;Ecole Jean Jaurès;Composteur Pédagogique en établissement scolaire;2023;1 Rue Paul Ploquin;Rezé;https://pom-e.compostri.fr/composteur/ecole-jean-jaures;47.19454899899296, -1.5795700001123325
452;Emmaüs 44;Composteur en résidence - copropriété;2023;La Guilloterie, Rue d'Emmaüs, 44340 Bouguenais;Bouguenais;https://pom-e.compostri.fr/composteur/emmaus-44;47.16004799863618, -1.5597219999507996
460;La Frat' 2;Composteur ouvert au quartier;2023;3 rue Amiral du Chaffault;Nantes;https://pom-e.compostri.fr/composteur/la-frat-2;47.2100089995139, -1.5800639998739512
14;Ecole Jacques Prévert;Composteur Pédagogique en établissement scolaire;2010;38 rue du Breil;Nantes;https://pom-e.compostri.fr/composteur/ecole-jacques-prevert;47.228516998718604, -1.5836871002441892
19;Murillo/Les Excuriales;Composteur en résidence - copropriété;2010;5 allée Murillo 44300 direct à gauche après le portail;Nantes;https://pom-e.compostri.fr/composteur/murillo-les-excuriales;47.25805339931159, -1.5169751000693734
51;Ecole George Sand;Composteur Pédagogique en établissement scolaire;2012;83 rue des Renards;Nantes;https://pom-e.compostri.fr/composteur/ecole-george-sand;47.259078999479186, -1.5689220001373414
52;Ecole Jules Ferry;Composteur Pédagogique en établissement scolaire;2012;Rue de la gare;Indre;https://pom-e.compostri.fr/composteur/ecole-jules-ferry;47.20138299928065, -1.6690229999007762
69;CSC Port au Blé;Composteur ouvert au quartier;2013;rue Vega;Rezé;https://pom-e.compostri.fr/composteur/csc-port-au-ble;47.19193499910114, -1.5582230000308757
73;Ecole François Dallet;Composteur Pédagogique en établissement scolaire;2013;148 boulevard des Poilus;Nantes;https://pom-e.compostri.fr/composteur/ecole-francois-dallet;47.23447099943363, -1.5337350005183872
115;Vore-Koff;Composteur ouvert au quartier;2014;rue de Chypre;Nantes;https://pom-e.compostri.fr/composteur/vore-koff;47.2158787518079, -1.5240184220242727
136;Canopia;Composteur ouvert au quartier;2015;angle rue Anita Conti et Chemin de l'éco butte (111 mail Haroun Tazieff);Nantes;https://pom-e.compostri.fr/composteur/canopia;47.238860998929724, -1.5115000002842214
141;Bois de Chézine;Composteur en résidence - copropriété;2016;128 boulevard du Massacre;Saint-Herblain;https://pom-e.compostri.fr/composteur/bois-de-chezine;47.2307579987437, -1.5947509998289082
170;Ecole Emilienne Leroux;Composteur Pédagogique en établissement scolaire;2017;Rue des Violettes;Saint-Jean de Boiseau;https://pom-e.compostri.fr/composteur/ecole-emilienne-leroux;47.193030999418774, -1.724767899763574
171;Dépôts des pots;Composteur ouvert au quartier;2017;Jardin des Plantes;Nantes;https://pom-e.compostri.fr/composteur/depots-des-pots;47.2206863988769, -1.5449958003382533
178;Pirotterie;Composteur ouvert au quartier;2017;25 rue Suzanne Valadon;Rezé;https://pom-e.compostri.fr/composteur/pirotterie;47.167580999184004, -1.5552849995038482
179;Le Keraban;Composteur ouvert au quartier;2017;15 rue de Bretagne;Sautron;https://pom-e.compostri.fr/composteur/le-keraban;47.26130199922606, -1.6678250000631798
181;Résidence des Isles;Composteur en résidence - copropriété;2017;5-7 rue du Chateau de l’Isle;Saint-Sébastien-sur-Loire;https://pom-e.compostri.fr/composteur/residence-des-isles;47.21033199868012, -1.4948469997773859
182;Les Perrières 2;Composteur ouvert au quartier;2017;Avenue des Perrières;La Chapelle-sur-Erdre;https://pom-e.compostri.fr/composteur/les-perrieres-2;47.309947998733705, -1.5466750003334122
197;Pierre et Marie Curie;Composteur en résidence - copropriété;2018;20 bis rue Pierre et Marie Curie;Nantes;https://pom-e.compostri.fr/composteur/pierre-et-marie-curie;47.22308799916834, -1.524718999800073
202;Interlude;Composteur ouvert au quartier;2018;106 Boulevard des Belges;Nantes;https://pom-e.compostri.fr/composteur/interlude;47.23553399921662, -1.5442429994647822
